id,name,useCase,targetDescription,booleanQuery,filtersJson,totalFound,emailsFound,status,createdAt,completedAt,deduplicatedCount,runTimeSeconds
camp_1776677097975_ux50,Search: CONNECT WITH PEOPLE WHO ARE MAKING SOMETHING UNDER THE STEALTH STARTUP IN INDIA,connection,CONNECT WITH PEOPLE WHO ARE MAKING SOMETHING UNDER THE STEALTH STARTUP IN INDIA,"site:linkedin.com/in (""Founder"" OR ""Co-Founder"" OR ""Entrepreneur"") India Technology Startup making something -job -jobs -hiring -""job description""",,1,0,completed,2026-04-20T09:24:51.769Z,2026-04-20T09:24:58.677Z,0,7
camp_1776680274565_qv36,Search: CONNECT WITH PEOPLE WHO ARE MAKING SOMETHING UNDER THE STEALTH STARTUP IN INDIA,connection,CONNECT WITH PEOPLE WHO ARE MAKING SOMETHING UNDER THE STEALTH STARTUP IN INDIA,"site:linkedin.com/in (""founder"" OR ""cofounder"" OR ""entrepreneur"") AND (India) AND (technology OR startup) AND (""making something"") -job -jobs -hiring -""job description""",,1,0,completed,2026-04-20T10:17:50.018Z,2026-04-20T10:17:55.598Z,0,6
camp_1776681340079_2kuf,Search: CONNECT WITH PEOPLE WHO ARE MAKING SOMETHING UNDER THE STEALTH STARTUP IN INDIA,connection,CONNECT WITH PEOPLE WHO ARE MAKING SOMETHING UNDER THE STEALTH STARTUP IN INDIA,"site:linkedin.com/in (""founder"" OR ""cofounder"" OR ""entrepreneur"") AND (technology OR startup) AND India AND (""building"" OR ""creating"" OR ""making"") -job -jobs -hiring -""job description""",,9,0,completed,2026-04-20T10:35:33.526Z,2026-04-20T10:35:59.902Z,1,26
camp_1776684845957_7slh,Search: CONNECT WITH PEOPLE WHO ARE MAKING SOMETHING UNDER THE STEALTH STARTUP IN INDIA,connection,CONNECT WITH PEOPLE WHO ARE MAKING SOMETHING UNDER THE STEALTH STARTUP IN INDIA,"site:linkedin.com/in (""founder"" OR ""cofounder"" OR ""entrepreneur"") AND (technology OR startup) AND India AND (""building"" OR ""creating"" OR ""making"") -job -jobs -hiring -""job description""",,1,0,completed,2026-04-20T11:33:53.334Z,2026-04-20T11:34:07.911Z,3,15
camp_1776723311367_pvt8,"Search: Founder working in india and looking for hiring, good company it should has good followers count",job,"Founder working in india and looking for hiring, good company it should has good followers count","site:linkedin.com/in (Founder OR Co-Founder OR CEO OR Managing Director) (India) (hiring) -job -jobs -""job description""",,10,2,completed,2026-04-20T22:14:34.308Z,2026-04-20T22:16:10.339Z,0,96
camp_1776723967887_tt5w,"Search: FOUNDER, in FINTECH COMPANY, based in INDIA, at startup companies",job,"FOUNDER, in FINTECH COMPANY, based in INDIA, at startup companies","site:linkedin.com/in (founder OR ceo OR cfo OR cto) fintech company India (startup OR earlystage OR growthstage) -job -jobs -hiring -""job description""",,10,4,completed,2026-04-20T22:25:22.436Z,2026-04-20T22:27:25.898Z,0,123
camp_1776725515901_n57q,"Search: FOUNDER / CO FOUNDER, in SAAS, FINTECH, based in INDIA, at startup companies",job,"FOUNDER / CO FOUNDER, in SAAS, FINTECH, based in INDIA, at startup companies","site:linkedin.com/in (founder OR co-founder OR ceo OR cto OR president OR managing director) (saas OR fintech) India (startup) (growing OR scaling OR expanding) -job -jobs -hiring -""job description""",,9,2,completed,2026-04-20T22:51:28.412Z,2026-04-20T22:53:13.201Z,1,105
camp_1776726736073_9w1q,"Search: Founder / Co-Founder, in SAAS, FINTECH, based in INDIA, at startup companies",job,"Founder / Co-Founder, in SAAS, FINTECH, based in INDIA, at startup companies","site:linkedin.com/in (Founder OR Co-Founder OR Entrepreneur OR CEO OR Managing Director) (SAAS OR FINTECH) ""India"" (startup OR earlystage OR growthstage) -job -jobs -hiring -""job description""","{""roles"":[""Founder"",""Co-Founder""],""industries"":[""SAAS"",""FINTECH""],""locations"":[""INDIA""],""companyStage"":""startup"",""companySize"":null,""signals"":[""HIRING""],""seniority"":""any""}",7,2,completed,2026-04-20T23:11:52.699Z,2026-04-20T23:13:10.039Z,3,77
